path,barrio,localidad,categoria,descripcion
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_33_santiago_reyna-10005.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 33 Santiago Reyna-10005.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_34_santiago_reyna-10004.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 34 Santiago Reyna-10004.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_35_santiago_reyna-10003.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 35 Santiago Reyna-10003.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_36_santiago_reyna-10002.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 36 Santiago Reyna-10002.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_37_Daniel_Etchemendy-10035.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 37 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Nueva_Cordoba_27_Gustavo_Marcelo_Farias-10039.jpg,,Córdoba Capital,General,Nueva Cordoba 27 Gustavo Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Nueva_Cordoba_28_Gustavo_Marcelo_Farias-10037.jpg,,Córdoba Capital,General,Nueva Cordoba 28 Gustavo Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Nueva_Cordoba_29_Gustavo_Marcelo_Farias-10038.jpg,,Córdoba Capital,General,Nueva Cordoba 29 Gustavo Marcelo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/palacio_justicia_cordoba_01_Guillermo_Garc__a_Marsal-10087.jpg,,Córdoba Capital,Edificios Públicos,Palacio Justicia Cordoba 01 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/palacio_justicia_cordoba_02_Guillermo_Garc__a_Marsal-10088.jpg,,Córdoba Capital,Edificios Públicos,Palacio Justicia Cordoba 02 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/palacio_justicia_cordoba_03_Guillermo_Garc__a_Marsal-10089.jpg,,Córdoba Capital,Edificios Públicos,Palacio Justicia Cordoba 03 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/parque_sarmiento_cordoba_31_paola_pcios-10024.jpg,,Córdoba Capital,Plazas y Parques,Parque Sarmiento Cordoba 31 Paola Pcios-10024.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/parque_sarmiento_cordoba_32_Daniel_Etchemendy-10033.jpg,,Córdoba Capital,Plazas y Parques,Parque Sarmiento Cordoba 32 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Puentes_cordoba_08_Daniel_Etchemendy-10036.jpg,,Córdoba Capital,Puentes y Ferrocarril,Puentes Cordoba 08 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/REVOLUCION_LIBERTADORA_cordoba_32_Horacio_Pruzzo-10097.jpg,,Córdoba Capital,General,Revolucion Libertadora Cordoba 32 Horacio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/REVOLUCION_LIBERTADORA_cordoba_33_Horacio_Pruzzo-10098.jpg,,Córdoba Capital,General,Revolucion Libertadora Cordoba 33 Horacio
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_25_Mar__a_Elsa_Peroni-10057.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 25 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_26_Mar__a_Elsa_Peroni-10058.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 26 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_27_Mar__a_Elsa_Peroni-10059.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 27 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_28_Mar__a_Elsa_Peroni-10060.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 28 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_29_Mar__a_Elsa_Peroni-10061.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 29 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_30_Mar__a_Elsa_Peroni-10062.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 30 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_31_Mar__a_Elsa_Peroni-10063.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 31 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_32_Mar__a_Elsa_Peroni-10064.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 32 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_33_Mar__a_Elsa_Peroni-10065.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 33 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_34_Mar__a_Elsa_Peroni-10066.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 34 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_35_Mar__a_Elsa_Peroni-10067.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 35 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_36_Mar__a_Elsa_Peroni-10068.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 36 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_37_Mar__a_Elsa_Peroni-10069.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 37 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_38_Mar__a_Elsa_Peroni-10084.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 38 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_39_Mar__a_Elsa_Peroni-10083.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 39 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_40_Mar__a_Elsa_Peroni-10082.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 40 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_41_Mar__a_Elsa_Peroni-10081.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 41 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_42_Mar__a_Elsa_Peroni-10080.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 42 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_43_Mar__a_Elsa_Peroni-10079.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 43 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_44_Mar__a_Elsa_Peroni-10078.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 44 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_45_Mar__a_Elsa_Peroni-10077.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 45 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_46_Mar__a_Elsa_Peroni-10076.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 46 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_47_Mar__a_Elsa_Peroni-10075.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 47 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_48_Mar__a_Elsa_Peroni-10074.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 48 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Santa_Maria_Cordoba_Republica_Argentina_49_Mar__a_Elsa_Peroni-10073.jpg,,Córdoba Capital,General,Santa Maria Cordoba Republica Argentina 49 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/san_vicente_cordoba_03_Guillermo_Garc__a_Marsal-10043.jpg,,Córdoba Capital,General,San Vicente Cordoba 03 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/san_vicente_cordoba_04_Guillermo_Garc__a_Marsal-10042.jpg,,Córdoba Capital,General,San Vicente Cordoba 04 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/san_vicente_cordoba_05_Guillermo_Garc__a_Marsal-10041.jpg,,Córdoba Capital,General,San Vicente Cordoba 05 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/san_vicente_cordoba_06_Guillermo_Garc__a_Marsal-10040.jpg,,Córdoba Capital,General,San Vicente Cordoba 06 Guillermo Garc A
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Teatros_y_cines_04_Daniel_Peralta-10085.jpg,,Córdoba Capital,Teatros y Cines,Teatros Y Cines 04 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/villa_allende_01_Juan_Pablo_Ordo__ez-10090.jpg,,Córdoba Capital,General,Villa Allende 01 Juan Pablo Ordo Ez-10090.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/villa_carlos_paz_88_Ricardo_Jose_Gonzalez_Pihen-10052.jpg,,Córdoba Capital,General,Villa Carlos Paz 88 Ricardo Jose Gonzalez
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/villa_giardino_10_Daniel_Etchemendy-10034.jpg,,Córdoba Capital,General,Villa Giardino 10 Daniel
